約定日,受渡日,銘柄コード,銘柄名,口座,信用区分,取引,数量[株],売却/決済単価[円],売却/決済額[円],平均取得価額[円],実現損益[円]
"2022/01/31","2022/02/02","1963","日揮ホールディングス","特定","一般","売埋","100","1,112.0","111,200","1,107.00","500"
"2022/01/31","2022/02/02","1963","日揮ホールディングス","特定","一般","売埋","200","1,112.0","222,400","1,107.00","1,000"
"2022/01/31","2022/02/02","1963","日揮ホールディングス","特定","一般","売埋","700","1,112.0","778,400","1,108.00","2,800"
"2022/01/31","2022/02/02","4183","三井化学","特定","一般","売埋","100","3,005.0","300,500","3,004.00","100"
"2022/01/31","2022/02/02","4183","三井化学","特定","一般","売埋","100","3,005.0","300,500","3,004.50","50"
"2022/01/31","2022/02/02","4183","三井化学","特定","一般","売埋","200","3,005.0","601,000","3,005.00","0"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","100","568.5","56,850","572.00","350"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","200","568.5","113,700","571.90","680"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","100","568.5","56,850","571.90","340"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","100","568.5","56,850","571.90","340"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","100","568.5","56,850","571.90","340"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","1,300","568.5","739,050","571.90","4,420"
"2022/01/31","2022/02/02","4689","Ｚホールディングス","特定","一般","買埋","100","568.6","56,860","571.80","320"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,176.0","117,600","1,169.70","630"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,176.0","117,600","1,169.70","630"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,176.0","117,600","1,169.70","630"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,176.0","117,600","1,169.80","620"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.90","510"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.80","520"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.90","510"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.80","520"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.90","510"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,175.0","117,500","1,169.90","510"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,174.0","117,400","1,177.20","-518"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,174.0","117,400","1,177.30","-330"
"2022/01/31","2022/02/02","5301","東海カーボン","特定","一般","売埋","100","1,174.0","117,400","1,177.30","-330"
"2022/01/31","2022/02/02","6976","太陽誘電","特定","一般","買埋","100","5,430.0","543,000","5,411.00","-1,900"
"2022/01/31","2022/02/02","6976","太陽誘電","特定","一般","買埋","100","5,430.0","543,000","5,411.00","-1,900"
"2022/01/31","2022/02/02","7735","ＳＣＲＥＥＮホールディングス","特定","一般","売埋","100","11,380.0","1,138,000","11,270.00","11,000"
"2022/01/31","2022/02/02","7735","ＳＣＲＥＥＮホールディングス","特定","一般","売埋","100","11,240.0","1,124,000","11,228.00","1,200"
"2022/01/31","2022/02/02","8309","三井住友トラストＨＤ","特定","一般","買埋","100","3,936.0","393,600","3,945.00","900"
"2022/01/31","2022/02/02","8309","三井住友トラストＨＤ","特定","一般","買埋","100","3,936.0","393,600","3,944.90","890"
"2022/01/31","2022/02/02","8309","三井住友トラストＨＤ","特定","一般","買埋","100","3,936.0","393,600","3,944.70","870"
"2022/01/31","2022/02/02","8697","日本取引所グループ","特定","一般","買埋","100","2,345.0","234,500","2,337.70","-730"
"2022/01/31","2022/02/02","8697","日本取引所グループ","特定","一般","買埋","100","2,345.0","234,500","2,337.70","-730"
"2022/01/31","2022/02/02","8697","日本取引所グループ","特定","一般","買埋","100","2,345.0","234,500","2,337.60","-740"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","買埋","100","2,427.5","242,750","2,423.00","-450"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","買埋","100","2,427.5","242,750","2,422.90","-460"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","買埋","100","2,427.5","242,750","2,422.80","-470"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","買埋","100","2,427.5","242,750","2,422.70","-480"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","買埋","100","2,427.5","242,750","2,422.70","-480"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","売埋","100","2,431.0","243,100","2,429.70","130"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","売埋","100","2,431.0","243,100","2,429.90","110"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","売埋","100","2,430.5","243,050","2,429.90","60"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","売埋","100","2,430.5","243,050","2,429.90","60"
"2022/01/31","2022/02/02","8801","三井不動産","特定","一般","売埋","100","2,430.5","243,050","2,430.00","50"
